country_code,country,bo,bo_site,bo_group,brand,brand_site,mp_domain,is_demo,note
TH,Thailand,THKZG1,kzg1bo.com,kzg1,DEE99,d99v1.com,dee99d.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,HK39,hk39v1.com,hk39.co,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,WOW69,wow69v2.com,wow69.cc,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,MK69,mk69v1.com,mk69.co,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,XO268,xo268.win,xo268.win,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,CY268,cy268v1.co,cy268v1.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,KK69,kk69v1.com,kk69v1.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,DMKZ1,demokzg1.com,,TRUE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,BKK678,bkk678v1.com,bkk678v1.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,WIN268,win268v1.com,win268r.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,PAPA555,papa555v1.com,papa555r.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,HI268,hi268v1.com,hi268r.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,789XYZ,789xyzv1.com,789xyzz.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,UP555,up555v1.com,up555v3.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,MY456,my456v1.com,my4566.com,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,268MAMA,268mamav1.com,,FALSE,
TH,Thailand,THKZG1,kzg1bo.com,kzg1,MBK678,mbk678v1.com,,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,BIG188,big188fb5.com,big188.cc,FALSE,source cell shows full URL only
TH,Thailand,THKZG2,kzg2bo.com,kzg2,KISS39,kiss39v1.com,kiss39thai.com,FALSE,hyperlink points to kiss39fb2.com
TH,Thailand,THKZG2,kzg2bo.com,kzg2,POP369,pop369v1.com,pop3699.com,FALSE,hyperlink points to pop369th.com
TH,Thailand,THKZG2,kzg2bo.com,kzg2,GO989,g989v1.com,go989v1.com,FALSE,hyperlink points to goo989.com
TH,Thailand,THKZG2,kzg2bo.com,kzg2,KBK99,kbk99v1.cc,kbk99v1.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,W268,w268v1.com,w268v1.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,GIG58,gig58v1.com,gig58v1.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,BEER78,beer78v1.com,beer78v1.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,EZ333,ez333v1.com,ez333v1.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,789ABC,789abcv1.com,789abcs.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,MA268,ma268v1.com,ma2688.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,ME678,me678v1.com,me6788.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,TOP268,top268v1.com,top2688.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,789CR,789crv1.com,7789cr.com,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,BT268,bt268v1.com,,FALSE,
TH,Thailand,THKZG2,kzg2bo.com,kzg2,FUN678,fun678v1.com,,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,789BK,789bkv1.net,,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,JAI88,jai88v1.com,jai88b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,SUK555,suk555v1.com,suk555b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,GOGO69,gogo69v1.com,gogo69b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,DEMO96G1,demo96g1.com,,TRUE,
TH,Thailand,TH96G1,bo789bk.net,96g1,OK69,ok69v1.com,ok69b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,YES69,yes69v1.com,yes69b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,WE67,we67v1.com,we67b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,ME39,me39v1.net,me39b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,TH96,th96v1.com,th96b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,BKK67,bkk67v1.com,bkk67b.org,FALSE,
TH,Thailand,TH96G1,bo789bk.net,96g1,MC36,mc36v1.com,mc36b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,TK69,tk69v1.com,tk69b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,MEE55,mee55v1.com,mee55b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,WA55,wa55v1.com,wa55b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,YUM66,yum66v1.com,yum66b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,BIG96,big96v1.com,big96b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,KA555,ka555v1.com,ka555b.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,DEMO BRAND,demo96g2.net,,TRUE,
TH,Thailand,TH96G2,bo96g2.net,96g2,DK67,dk67v1.com,dk67.gg,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,BK678,bk678v1.com,bk678.gg,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,HI59,hi59v1.com,hi59.org,FALSE,
TH,Thailand,TH96G2,bo96g2.net,96g2,PK96,pk96v1.com,pk96.pro,FALSE,
TH,Thailand,THWDB1,wdb1bo.com,wdb1,TRU99,tru99s1.com,tru99.co,FALSE,
TH,Thailand,THWDB1,wdb1bo.com,wdb1,NOO66,noo66v1.com,noo66v6.com,FALSE,
TH,Thailand,THWDB1,wdb1bo.com,wdb1,DEMOWDB1,demowdb1.com,,TRUE,
